应用ID,游戏名称,游玩时长 (小时),已解锁成就,总成就数,成就进度,商店链接,成就链接,图片链接
681330,Helium Rain,0.0,0,23,0.0,https://store.steampowered.com/app/681330,https://steamcommunity.com/id/aeorz/stats/681330/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
588210,HELLION,0.0,0,12,0.0,https://store.steampowered.com/app/588210,https://steamcommunity.com/id/aeorz/stats/588210/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1175970,Hibiscus Red,0.0,0,0,0.0,https://store.steampowered.com/app/1175970,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,0.0,0,14,0.0,https://store.steampowered.com/app/310360,https://steamcommunity.com/id/aeorz/stats/310360/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
6860,Hitman: Blood Money,0.0,0,0,0.0,https://store.steampowered.com/app/6860,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
203140,Hitman: Absolution,0.0,0,47,0.0,https://store.steampowered.com/app/203140,https://steamcommunity.com/id/aeorz/stats/203140/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1659040,HITMAN World of Assassination,0.0,0,83,0.0,https://store.steampowered.com/app/1659040,https://steamcommunity.com/id/aeorz/stats/1659040/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
205930,Hitman: Sniper Challenge,0.0,0,0,0.0,https://store.steampowered.com/app/205930,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
274980,Influent,0.0,0,12,0.0,https://store.steampowered.com/app/274980,https://steamcommunity.com/id/aeorz/stats/274980/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1997630,Ink: Tournament Paintball,0.0,0,0,0.0,https://store.steampowered.com/app/1997630,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
579110,Interkosmos,0.0,0,17,0.0,https://store.steampowered.com/app/579110,https://steamcommunity.com/id/aeorz/stats/579110/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
557260,iREC,0.0,0,0,0.0,https://store.steampowered.com/app/557260,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
2071500,Islands of Insight,0.0,0,0,0.0,https://store.steampowered.com/app/2071500,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1095060,Jar Wars,0.0,0,0,0.0,https://store.steampowered.com/app/1095060,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
3205090,Jumping Jack,0.0,0,0,0.0,https://store.steampowered.com/app/3205090,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
544810,KARDS - 二战卡牌游戏,0.0,0,0,0.0,https://store.steampowered.com/app/544810,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
699240,Keyboard Killers,0.0,0,15,0.0,https://store.steampowered.com/app/699240,https://steamcommunity.com/id/aeorz/stats/699240/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1020330,Khan VS Kahn,0.0,0,0,0.0,https://store.steampowered.com/app/1020330,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
289690,Lara Croft and the Temple of Osiris,0.0,0,40,0.0,https://store.steampowered.com/app/289690,https://steamcommunity.com/id/aeorz/stats/289690/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
500,Left 4 Dead,0.0,0,73,0.0,https://store.steampowered.com/app/500,https://steamcommunity.com/id/aeorz/stats/500/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
550,Left 4 Dead 2,0.0,0,101,0.0,https://store.steampowered.com/app/550,https://steamcommunity.com/id/aeorz/stats/550/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
438920,Legends of Callasia,0.0,0,24,0.0,https://store.steampowered.com/app/438920,https://steamcommunity.com/id/aeorz/stats/438920/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
285160,LEGO® The Hobbit™,0.0,0,39,0.0,https://store.steampowered.com/app/285160,https://steamcommunity.com/id/aeorz/stats/285160/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
319630,Life is Strange™,0.0,0,60,0.0,https://store.steampowered.com/app/319630,https://steamcommunity.com/id/aeorz/stats/319630/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
424840,Little Nightmares,0.0,0,22,0.0,https://store.steampowered.com/app/424840,https://steamcommunity.com/id/aeorz/stats/424840/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1008690,Lost Daughter,0.0,0,0,0.0,https://store.steampowered.com/app/1008690,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
50130,Mafia II (Classic),0.0,0,67,0.0,https://store.steampowered.com/app/50130,https://steamcommunity.com/id/aeorz/stats/50130/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
360430,Mafia III: Definitive Edition,0.0,0,85,0.0,https://store.steampowered.com/app/360430,https://steamcommunity.com/id/aeorz/stats/360430/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
3208470,Magic Sword,0.0,0,0,0.0,https://store.steampowered.com/app/3208470,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
648390,Marie's Room,0.0,0,7,0.0,https://store.steampowered.com/app/648390,https://steamcommunity.com/id/aeorz/stats/648390/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1135570,Martian Law,0.0,0,0,0.0,https://store.steampowered.com/app/1135570,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
311340,METAL GEAR SOLID V: GROUND ZEROES,0.0,0,16,0.0,https://store.steampowered.com/app/311340,https://steamcommunity.com/id/aeorz/stats/311340/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,0.0,0,42,0.0,https://store.steampowered.com/app/287700,https://steamcommunity.com/id/aeorz/stats/287700/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
356310,METAL SLUG DEFENSE,0.0,0,64,0.0,https://store.steampowered.com/app/356310,https://steamcommunity.com/id/aeorz/stats/356310/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
43110,Metro 2033,0.0,0,48,0.0,https://store.steampowered.com/app/43110,https://steamcommunity.com/id/aeorz/stats/43110/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
43160,Metro: Last Light Complete Edition,0.0,0,70,0.0,https://store.steampowered.com/app/43160,https://steamcommunity.com/id/aeorz/stats/43160/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
481870,Mini Thief,0.0,0,20,0.0,https://store.steampowered.com/app/481870,https://steamcommunity.com/id/aeorz/stats/481870/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
565110,Mobile Astro,0.0,0,4,0.0,https://store.steampowered.com/app/565110,https://steamcommunity.com/id/aeorz/stats/565110/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
943700,Monster Girl Island: Prologue,0.0,0,0,0.0,https://store.steampowered.com/app/943700,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
287920,Mortal Online,0.0,0,0,0.0,https://store.steampowered.com/app/287920,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
