app_id,title,hours,achievements_unlocked,achievements_total
2296990,我们曾到此探险：友谊考验 - 友谊考验,0.0,0,12
289130,无尽帝国,0.0,0,139
3008130,消逝的光芒：困兽,0.0,0,30
860510,小小梦魇2,0.0,0,35
1176710,星际小队 / Space Crew: Legendary Edition,0.0,0,30
563560,异形丛生：虫启天降 (Alien Swarm: Reactive Drop),0.0,0,198
233130,影子武士,0.0,0,92
324800,影子武士2,0.0,0,64
1036890,影子武士3：决定版,0.0,0,38
312520,雨世界,0.0,0,34
3689520,原点计划,0.0,0,0
2867440,战国：大逃杀,0.0,0,0
1071870,知只大冒险,0.0,0,15
1625080,做个好梦,0.0,0,0
2619940,A Story About Farting,0.0,0,0
390710,Acceleration of SUGURI 2,0.0,0,24
371140,Aegis Defenders,0.0,0,31
214490,Alien: Isolation,0.0,0,50
302190,Amerzone: The Explorer’s Legacy (1999),0.0,0,0
2368470,An Arcade Full of Cats,0.0,0,50
236730,Anomaly 2,0.0,0,65
294750,Anomaly Defenders,0.0,0,20
251530,Anomaly Korea,0.0,0,35
91200,Anomaly Warzone Earth,0.0,0,42
252170,Anomaly Warzone Earth Mobile Campaign,0.0,0,39
727020,Arcade Moonlander,0.0,0,42
407530,ARK: Survival Of The Fittest,0.0,0,0
507490,Ashes of the Singularity: Escalation,0.0,0,54
911400,刺客信条3：高清重制版,0.0,0,84
1728180,Astral Shipwright,0.0,0,0
753660,AtmaSphere,0.0,0,107
348510,Autobahn Police Simulator,0.0,0,26
803080,Bad Day,0.0,0,6
1260130,Banana Hell,0.0,0,0
618140,Barro,0.0,0,109
1158500,Between Two Castles - Digital Edition,0.0,0,0
7670,BioShock,0.0,0,0
409710,生化奇兵 重制版,0.0,0,65
8850,BioShock 2,0.0,0,68
1072390,BirdGut,0.0,0,0
261640,Borderlands: The Pre-Sequel,0.0,0,63
598780,Boreal Blade,0.0,0,0
499180,"Braid, Anniversary Edition",0.0,0,13
1161770,Breeders of the Nephelym,0.0,0,0
3300510,Bricks Over Blocks,0.0,0,0
1052920,Caelus Trident,0.0,0,0
1515950,Capcom Arcade Stadium,0.0,0,20
2173150,Cleaner Company: Prologue,0.0,0,0
231430,Company of Heroes 2,0.0,0,452
440900,Conan Exiles,0.0,0,0
931180,Conan Exiles - Public Beta Client,0.0,0,0
203770,Crusader Kings II,0.0,0,161
1130410,Cyber Hook,0.0,0,22
654350,Cyber Utopia,0.0,0,0
29900,Dark Sector,0.0,0,0
383180,Dead Island Riptide Definitive Edition,0.0,0,35
311730,Dead or Alive 5 Last Round,0.0,0,45
838380,DEAD OR ALIVE 6,0.0,0,0
520720,Dear Esther: Landmark Edition,0.0,0,10
760620,Deiland,0.0,0,24
755980,DEPLOYMENT,0.0,0,54
601150,Devil May Cry 5,0.0,0,0
1861980,Di-Da-Dobble,0.0,0,0
310560,DiRT Rally,0.0,0,170
